timestamp,FVNT_V(V),OBVTC(K),ETC21(K),OFMTC(K),FPUMP_I(A),FTPT(psi),ETC4(K),ETC1(K),OVNT_I(A),PUF_I(A),ETC10(K),Thrust(lbf),FBANG_V(V),FRUNPT(psi),ETC2(K),LN2FILL_I(A),FVNT_I(A),FMV_I(A),OPV_V(V),Sense(V),CHPT2(psi),ETC7(K),OTTC3(K),OFILL_I(A),OPV_I(A),ETC14(K),FIPT(psi),PUISO2_I(A),ETC20(K),OMV_I(A),ODP(psi),OTTC2(K),Deluge_V(V),Ignitor_I(A),ETC12(K),OBV_I(A),PUISO2_V(V),FSISO2_V(V),ETC18(K),PUO_V(V),ORUNPT(psi),FMV_V(V),OBV_V(V),FPV_I(A),FBANG_I(A),OTPT(psi),OIPT(psi),FPV_V(V),PRPTO(psi),OTBTC(K),OVNT_V(V),Deluge_I(A),OFILL_V(V),ETC8(K),CHPT1(psi),FPUMP_V(V),LN2FILL_V(V),ETC6(K),FSISO2_I(A),PNPT(psi),Ignitor_V(V),OBANG_I(A),OITC(K),PRISO2_I(A),PUO_I(A),PRPT2(psi),PRISO2_V(V),PUPT2(psi),OMV_V(V),ETC13(K),OBANG_V(V),ETC16(K),PUF_V(V),OLVL(psi),FPUMP,FVNT,OBANG,OPV,OMV,FMV,OFILL,Deluge,FSISO2,Ignitor,FPV,PUF,PRISO2,PUISO2,PUO,LN2FILL,OVNT,OBV,FBANG
1757804400,23.789,295.743,287.558,90.223,-0.002,-3.785,287.847,288.057,0.102,0.094,289.403,-22.252,0.212,-0.829,288.116,0.001,0.103,0.002,23.765,4.405,-1.091,73.779,78.204,0.002,0.096,285.988,-6.312,0.002,288.074,0.002,-36.831,85.006,26.794,-0.002,288.133,0.096,1.655,23.791,286.406,23.741,2.128,1.689,23.736,0.098,0.006,42.921,-4.739,23.765,57.083,294.046,23.786,-0.002,1.648,288.159,-3.785,27.806,1.682,286.908,0.097,111.523,27.806,0.006,288.074,0.001,0.092,1502.781,1.652,-1.806,1.691,287.836,0.226,285.153,23.729,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.792,295.447,287.742,90.484,-0.002,-3.833,287.728,288.207,0.102,0.094,289.468,-22.252,0.213,-0.853,288.386,0,0.103,0.002,23.76,4.405,-1.377,73.859,77.91,0.002,0.096,285.991,-6.289,0.002,288.196,0.002,-36.545,85.143,26.794,-0.002,288.136,0.096,1.655,23.792,286.706,23.742,2.604,1.688,23.735,0.098,0.006,42.897,-4.834,23.766,57.059,294.046,23.782,-0.002,1.647,288.403,-3.642,27.806,1.683,286.973,0.097,111.523,27.806,0.006,288.196,0.001,0.092,1501.589,1.652,-1.735,1.692,287.898,0.228,285.275,23.733,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.789,295.715,287.68,90.279,-0.002,-3.69,287.64,288.267,0.102,0.094,289.465,-22.252,0.213,-0.733,288.386,0,0.103,0.002,23.76,4.405,-1.472,73.859,77.827,0.002,0.096,286.108,-6.312,0.001,288.493,0.003,-36.159,84.653,26.794,-0.002,288.136,0.096,1.655,23.786,286.584,23.739,2.557,1.692,23.734,0.098,0.006,43.04,-4.763,23.766,56.988,294.046,23.787,-0.002,1.647,288.218,-3.714,27.806,1.683,287.087,0.097,111.607,27.806,0.006,288.493,0.001,0.092,1501.827,1.653,-1.806,1.69,288.196,0.228,285.213,23.734,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.792,295.715,287.683,90.546,-0.002,-3.857,287.58,288.238,0.102,0.094,289.468,-22.252,0.213,-0.853,288.179,0,0.103,0.002,23.76,4.405,-1.139,73.296,77.687,0.002,0.096,286.079,-6.217,0.001,288.221,0.002,-36.781,85.071,26.794,-0.002,288.102,0.096,1.654,23.788,286.496,23.74,2.485,1.693,23.732,0.098,0.006,42.921,-4.739,23.766,57.012,294.046,23.787,-0.002,1.647,288.309,-3.642,27.806,1.683,286.939,0.097,111.523,27.806,0.006,288.221,0.002,0.092,1502.304,1.653,-1.902,1.689,287.864,0.228,284.946,23.723,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.791,295.687,287.623,90.148,-0.002,-3.785,287.492,288.295,0.102,0.094,289.587,-22.252,0.213,-0.781,288.354,0,0.103,0.002,23.76,4.405,-1.091,73.779,77.532,0.002,0.096,286.076,-6.336,0.002,287.748,0.002,-36.792,84.928,27.72,-0.002,288.105,0.096,1.654,23.793,286.672,23.739,3.201,1.689,23.733,0.098,0.006,42.897,-4.834,23.766,57.059,294.046,23.79,-0.002,1.647,288.252,-3.69,28.099,1.683,287.061,0.097,111.511,28.099,0.006,287.748,0.001,0.092,1501.708,1.654,-1.83,1.692,287.807,0.228,285.003,23.727,-37.811,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.792,295.509,287.683,90.291,-0.002,-3.785,287.552,288.326,0.102,0.094,289.409,-25.431,0.214,-0.9,288.267,0.001,0.103,0.002,23.761,4.405,-1.234,73.859,78.281,0.002,0.095,285.988,-6.217,0.002,288.074,0.002,-36.695,85.078,27.72,-0.002,288.074,0.096,1.654,23.791,286.286,23.739,1.818,1.69,23.734,0.097,0.006,42.921,-4.691,23.769,56.964,294.046,23.785,-0.002,1.647,288.19,-3.714,28.099,1.684,286.939,0.097,111.535,28.099,0.006,288.074,0.001,0.092,1501.231,1.655,-1.782,1.687,287.895,0.227,285.094,23.728,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.796,295.833,287.739,90.546,-0.002,-3.785,287.58,288.057,0.102,0.094,289.525,-22.252,0.214,-0.757,288.235,0.001,0.103,0.002,23.761,4.405,-1.425,73.779,78.127,0.002,0.095,286.164,-6.336,0.001,288.284,0.002,-36.044,84.797,27.72,-0.002,288.105,0.096,1.657,23.792,286.462,23.737,3.534,1.692,23.733,0.097,0.006,42.778,-4.882,23.769,57.035,294.046,23.787,-0.002,1.647,288.068,-3.69,28.099,1.684,286.817,0.097,111.475,28.099,0.006,288.284,0.001,0.092,1501.827,1.654,-1.735,1.69,288.046,0.227,285.091,23.726,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.79,295.656,287.589,90.67,-0.002,-3.761,287.521,288.179,0.102,0.094,289.494,-20.663,0.214,-0.829,288.238,0.001,0.103,0.002,23.761,4.405,-1.282,73.296,77.973,0.002,0.095,285.991,-6.408,0.002,288.165,0.002,-36.71,85.065,27.72,-0.002,288.046,0.096,1.656,23.788,286.647,23.74,2.819,1.69,23.732,0.097,0.006,42.826,-4.786,23.769,56.988,294.046,23.785,-0.002,1.647,288.184,-3.785,28.099,1.684,286.814,0.097,111.583,28.099,0.006,288.165,0.001,0.092,1501.827,1.654,-1.854,1.693,287.926,0.227,285.037,23.728,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.787,295.566,287.561,90.217,-0.002,-3.761,287.787,288.267,0.102,0.094,289.287,-15.895,0.214,-0.9,288.386,0.001,0.103,0.002,23.761,4.405,-1.329,73.859,77.609,0.002,0.095,286.227,-6.36,0.001,287.688,0.002,-36.81,84.587,27.72,-0.002,288.224,0.096,1.655,23.789,286.406,23.741,3.105,1.69,23.73,0.097,0.006,42.826,-4.81,23.769,57.035,294.046,23.788,-0.002,1.647,288.159,-3.642,28.099,1.684,286.729,0.097,111.642,28.099,0.006,287.688,0.002,0.092,1500.993,1.655,-1.854,1.689,287.986,0.227,285.034,23.732,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.787,295.566,287.561,90.217,-0.002,-3.761,287.787,288.267,0.102,0.094,289.287,-15.895,0.214,-0.9,288.386,0.001,0.103,0.002,23.761,4.405,-1.329,73.859,77.609,0.002,0.095,286.227,-6.36,0.001,287.688,0.002,-36.81,84.587,27.72,-0.002,288.224,0.096,1.655,23.789,286.406,23.741,3.105,1.69,23.73,0.097,0.006,42.826,-4.81,23.769,57.035,294.046,23.788,-0.002,1.647,288.159,-3.642,28.099,1.684,286.729,0.097,111.642,28.099,0.006,287.688,0.002,0.092,1500.993,1.655,-1.854,1.689,287.986,0.227,285.034,23.732,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.793,295.566,287.561,90.217,-0.002,-3.666,287.787,288.238,0.102,0.094,289.287,-15.895,0.214,-0.9,288.298,0.001,0.103,0.002,23.761,4.405,-1.329,73.296,77.609,0.002,0.095,286.227,-6.36,0.002,287.688,0.002,-36.81,84.587,27.507,-0.002,288.224,0.096,1.657,23.791,286.406,23.741,3.105,1.69,23.73,0.097,0.006,42.85,-4.81,23.769,57.012,294.046,23.786,-0.002,1.647,288.159,-3.642,27.677,1.684,286.729,0.097,111.511,27.677,0.006,287.688,0.002,0.092,1501.231,1.656,-1.854,1.689,287.986,0.227,285.034,23.732,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.79,295.836,287.739,90.285,-0.002,-3.714,287.524,288.298,0.102,0.093,289.406,-22.252,0.214,-0.757,288.179,0.001,0.103,0.002,23.759,4.405,-1.234,73.296,77.98,0.002,0.096,286.079,-6.098,0.001,288.281,0.002,-36.13,85.208,27.507,-0.002,287.983,0.096,1.654,23.794,286.556,23.741,2.938,1.69,23.732,0.098,0.006,42.873,-4.763,23.768,57.107,294.046,23.784,-0.002,1.648,288.19,-3.714,27.677,1.684,286.999,0.097,111.523,27.677,0.006,288.281,0.001,0.092,1501.589,1.655,-1.782,1.689,287.804,0.227,285.125,23.731,-37.818,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.793,295.743,287.592,90.942,-0.002,-3.761,287.609,288.357,0.102,0.094,289.497,-19.073,0.214,-0.876,288.119,0.001,0.103,0.002,23.759,4.405,-1.329,73.296,78.134,0.002,0.096,286.079,-6.36,0.002,287.867,0.002,-36.77,84.941,27.507,-0.002,288.165,0.096,1.655,23.789,286.616,23.739,1.412,1.689,23.734,0.098,0.006,42.921,-4.715,23.768,56.964,294.046,23.79,-0.002,1.648,288.218,-3.69,27.677,1.684,286.908,0.097,111.654,27.677,0.006,287.867,0.001,0.092,1501.35,1.653,-1.83,1.689,287.986,0.227,285.304,23.733,-37.808,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.793,295.743,287.711,90.217,-0.002,-3.761,287.609,288.357,0.102,0.094,289.497,-20.663,0.214,-0.924,288.119,0.001,0.103,0.002,23.759,4.405,-1.329,73.296,77.609,0.002,0.096,285.96,-6.36,0.002,287.748,0.002,-36.799,85.274,27.507,-0.002,288.343,0.096,1.655,23.789,286.556,23.744,3.01,1.69,23.734,0.098,0.006,42.921,-4.715,23.768,56.964,294.046,23.79,-0.002,1.648,288.218,-3.69,27.677,1.684,286.908,0.097,111.654,27.677,0.006,287.748,0.001,0.092,1501.35,1.653,-1.878,1.693,288.105,0.227,285.304,23.737,-37.808,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.793,295.743,287.711,90.217,-0.002,-3.761,287.609,288.357,0.102,0.094,289.497,-20.663,0.214,-0.924,288.119,0.001,0.103,0.002,23.759,4.405,-1.329,73.296,77.609,0.002,0.096,285.96,-6.36,0.002,287.748,0.002,-36.799,85.274,27.507,-0.002,288.343,0.096,1.655,23.789,286.556,23.744,3.01,1.69,23.734,0.098,0.006,42.921,-4.715,23.768,56.964,294.046,23.79,-0.002,1.648,288.218,-3.69,27.677,1.684,286.908,0.097,111.654,27.677,0.006,287.748,0.001,0.092,1501.35,1.653,-1.878,1.693,288.105,0.227,285.304,23.737,-37.808,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.791,295.594,287.47,90.279,-0.003,-3.928,287.578,288.295,0.102,0.094,289.375,-19.073,0.216,-0.876,288.235,0.001,0.103,0.002,23.764,4.405,-1.019,73.779,77.827,0.002,0.096,285.988,-6.241,0.001,288.34,0.002,-36.069,84.928,26.42,-0.003,288.102,0.096,1.657,23.791,286.525,23.737,2.295,1.69,23.731,0.098,0.006,42.85,-4.691,23.767,56.964,294.046,23.787,-0.002,1.648,288.099,-3.69,27.369,1.684,286.908,0.097,111.595,27.369,0.006,288.34,0.001,0.092,1501.112,1.653,-1.759,1.689,287.864,0.227,285.213,23.725,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.788,295.628,287.683,90.682,-0.003,-3.833,287.79,288.445,0.102,0.094,289.528,-22.252,0.216,-0.805,288.147,0.001,0.103,0.002,23.764,4.405,-1.186,73.859,78.134,0.002,0.096,286.108,-6.217,0.001,288.372,0.002,-36.52,85.489,26.42,-0.003,288.193,0.096,1.657,23.791,286.584,23.739,2.581,1.691,23.738,0.098,0.006,42.921,-4.786,23.767,57.083,294.046,23.791,-0.002,1.648,288.25,-3.714,27.369,1.684,286.939,0.097,111.487,27.369,0.006,288.372,0.001,0.092,1502.066,1.653,-1.782,1.689,287.895,0.227,285.153,23.733,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.794,295.836,287.561,90.614,-0.002,-3.833,287.643,288.235,0.102,0.094,289.346,-20.663,0.214,-0.876,288.116,0.001,0.103,0.002,23.76,4.405,-1.329,73.779,77.91,0.002,0.096,285.96,-6.169,0.002,287.867,0.002,-36.767,85.417,28.25,-0.002,288.105,0.096,1.656,23.794,286.616,23.746,2.39,1.689,23.733,0.097,0.006,42.85,-4.643,23.765,57.035,294.046,23.784,-0.002,1.648,288.19,-3.666,28.37,1.683,286.939,0.097,111.487,28.37,0.006,287.867,0.001,0.092,1501.35,1.655,-1.83,1.689,287.986,0.227,285.244,23.728,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804400,23.79,295.746,287.68,89.956,-0.002,-3.785,287.671,288.147,0.102,0.094,289.644,-20.663,0.214,-0.805,288.147,0.001,0.103,0.002,23.76,4.405,-1.353,73.859,77.757,0.002,0.096,286.173,-6.312,0.002,288.133,0.002,-36.767,85,28.25,-0.002,288.133,0.096,1.654,23.791,286.65,23.744,3.01,1.69,23.731,0.097,0.006,42.873,-4.834,23.765,56.964,294.046,23.787,-0.002,1.648,288.099,-3.69,28.37,1.683,286.968,0.097,111.487,28.37,0.006,288.133,0.001,0.092,1500.754,1.655,-1.925,1.69,287.776,0.227,285.398,23.733,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804401,23.791,295.625,287.561,90.744,-0.002,-3.785,287.668,288.417,0.102,0.094,289.406,-19.073,0.214,-0.924,288.298,0.001,0.103,0.002,23.76,4.405,-1.282,73.296,77.91,0.002,0.096,285.96,-6.145,0.001,288.284,0.002,-36.27,84.732,28.25,-0.002,288.165,0.096,1.652,23.791,286.556,23.74,2.986,1.689,23.734,0.097,0.006,42.897,-4.786,23.765,57.059,294.046,23.786,-0.002,1.648,288.218,-3.618,28.37,1.683,286.908,0.097,111.44,28.37,0.006,288.284,0.001,0.092,1501.47,1.655,-1.759,1.691,288.046,0.227,285.125,23.73,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804401,23.789,295.566,287.677,90.279,-0.002,-3.833,287.549,288.238,0.102,0.094,289.284,-22.252,0.214,-0.972,288.238,0.001,0.103,0.002,23.76,4.405,-1.377,73.296,77.384,0.002,0.096,285.957,-6.289,0.002,288.193,0.002,-36.284,85.065,28.25,-0.002,287.895,0.096,1.657,23.791,286.553,23.74,2.199,1.687,23.732,0.097,0.006,42.826,-4.882,23.765,56.988,294.046,23.792,-0.002,1.648,288.19,-3.618,28.37,1.683,286.82,0.097,111.619,28.37,0.006,288.193,0.001,0.092,1501.708,1.656,-1.711,1.691,288.074,0.227,285.062,23.73,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804401,23.787,295.774,287.799,90.484,-0.002,-3.904,287.64,288.235,0.102,0.094,289.406,-19.073,0.215,-0.924,288.235,0,0.103,0.002,23.759,4.405,-1.139,73.779,78.643,0.002,0.096,285.929,-6.169,0.002,288.224,0.002,-36.753,85.143,28.25,-0.002,287.986,0.096,1.654,23.789,286.465,23.744,2.819,1.689,23.734,0.097,0.006,42.873,-4.715,23.765,57.083,294.046,23.785,-0.002,1.65,288.25,-3.642,28.37,1.681,286.939,0.097,111.595,28.37,0.006,288.224,0.001,0.092,1501.112,1.653,-1.854,1.689,287.867,0.227,285.153,23.73,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
1757804401,23.791,295.681,287.62,90.148,-0.002,-3.785,287.546,288.36,0.102,0.094,289.525,-20.663,0.215,-0.805,288.479,0,0.103,0.002,23.759,4.405,-1.139,73.457,77.827,0.002,0.096,285.96,-6.312,0.002,287.714,0.002,-36.806,84.928,27.732,-0.002,288.131,0.096,1.657,23.793,286.675,23.746,1.961,1.69,23.739,0.097,0.006,42.778,-4.906,23.765,56.988,294.046,23.79,-0.002,1.65,288.221,-3.69,28.402,1.681,286.911,0.097,111.607,28.402,0.006,287.714,0.002,0.092,1501.589,1.654,-1.949,1.688,287.773,0.227,285.304,23.731,-37.822,disconnected,closed,closed,open,closed,closed,closed,disconnected,closed,fault,open,closed,closed,closed,closed,closed,closed,closed,closed
